provider,fused_task,payload_size,memory_mb,measured_time_s,estimated_time_s,err_time_pct,measured_cost_M,estimated_cost_M,err_cost_pct
AWS,gh_reduce_expand,small,2048,0.176,0.204,15.61,0.2057,0.2066,0.42
AWS,gh_reduce_expand,medium,256,5.285,4.053,23.31,0.2215,0.2165,2.26
AWS,gh_reduce_expand,medium,512,2.149,2.051,4.57,0.2175,0.2167,0.36
AWS,gh_reduce_expand,medium,768,1.715,1.629,5.03,0.2209,0.2199,0.47
AWS,gh_reduce_expand,medium,1024,1.309,1.301,0.58,0.2213,0.2212,0.04
AWS,gh_reduce_expand,medium,1536,1.156,1.365,18.07,0.2282,0.2333,2.22
AWS,gh_reduce_expand,medium,2048,1.127,1.173,4.12,0.2367,0.2382,0.64
AWS,gh_reduce_expand,large,1536,5.509,5.536,0.5,0.3345,0.3352,0.21
AWS,gh_reduce_expand,large,2048,5.458,5.456,0.04,0.3777,0.3776,0.02
AWS,kb_latency_compress,micro,128,20.103,20.143,0.2,0.2409,0.241,0.04
AWS,kb_latency_compress,micro,256,14.002,13.757,1.75,0.257,0.256,0.38
AWS,kb_latency_compress,micro,512,13.588,13.441,1.08,0.3106,0.3094,0.38
AWS,kb_latency_compress,micro,768,13.724,13.637,0.63,0.3675,0.3665,0.28
AWS,kb_latency_compress,micro,1024,13.793,13.415,2.74,0.4245,0.4183,1.46
AWS,kb_latency_compress,micro,1536,13.615,13.65,0.26,0.5324,0.5333,0.17
AWS,kb_latency_compress,micro,2048,13.666,13.621,0.33,0.6449,0.6434,0.23
AWS,kb_latency_compress,small,128,45.117,44.365,1.67,0.2918,0.2903,0.51
AWS,kb_latency_compress,small,256,30.126,30.248,0.4,0.3226,0.3231,0.16
AWS,kb_latency_compress,small,512,28.581,28.537,0.16,0.4326,0.4322,0.09
AWS,kb_latency_compress,small,768,28.094,27.899,0.7,0.5429,0.5406,0.43
AWS,kb_latency_compress,small,1024,27.719,27.373,1.25,0.6512,0.6455,0.87
AWS,kb_latency_compress,small,1536,27.323,27.403,0.29,0.8671,0.869,0.22
AWS,kb_latency_compress,small,2048,27.338,27.705,1.34,1.0899,1.1019,1.1
AWS,kb_latency_compress,medium,512,53.365,53.409,0.08,0.6343,0.6346,0.05
AWS,kb_latency_compress,medium,768,48.947,49.008,0.12,0.7975,0.7982,0.09
AWS,kb_latency_compress,medium,1024,47.249,46.491,1.6,0.969,0.9567,1.27
AWS,kb_latency_compress,medium,1536,45.001,45.491,1.09,1.2987,1.3106,0.92
AWS,kb_latency_compress,medium,2048,44.549,44.996,1.0,1.6502,1.6647,0.88
AWS,kb_latency_compress,large,1024,87.014,87.051,0.04,1.6163,1.6168,0.03
AWS,kb_latency_compress,large,1536,75.288,77.038,2.32,2.0381,2.0808,2.1
AWS,kb_latency_compress,large,2048,75.127,73.491,2.18,2.6455,2.5923,2.01
GCP,ae_passthrough_matrix_multiply,micro,128,0.168,0.16,4.9,0.4005,0.4005,0.01
GCP,ae_passthrough_matrix_multiply,micro,256,0.173,0.167,3.72,0.4011,0.4011,0.0
GCP,ae_passthrough_matrix_multiply,micro,512,0.16,0.172,7.23,0.402,0.4022,0.04
GCP,ae_passthrough_matrix_multiply,micro,768,0.158,0.159,0.94,0.403,0.403,0.0
GCP,ae_passthrough_matrix_multiply,micro,1024,0.159,0.169,6.2,0.404,0.4043,0.06
GCP,ae_passthrough_matrix_multiply,micro,1536,0.155,0.16,3.36,0.4059,0.4061,0.05
GCP,ae_passthrough_matrix_multiply,micro,2048,0.19,0.172,9.68,0.4097,0.4087,0.24
GCP,ae_passthrough_matrix_multiply,small,256,2.972,2.581,13.16,0.4189,0.4164,0.59
GCP,ae_passthrough_matrix_multiply,small,512,1.172,1.325,13.09,0.4149,0.4168,0.46
GCP,ae_passthrough_matrix_multiply,small,768,0.755,0.701,7.21,0.4144,0.4133,0.26
GCP,ae_passthrough_matrix_multiply,small,1024,0.965,0.862,10.63,0.4245,0.4219,0.61
GCP,ae_passthrough_matrix_multiply,small,1536,0.491,0.531,8.21,0.4187,0.4202,0.36
GCP,ae_passthrough_matrix_multiply,small,2048,0.532,0.494,7.09,0.427,0.4251,0.44
GCP,ae_passthrough_matrix_multiply,medium,512,11.34,10.891,3.96,0.544,0.5383,1.04
GCP,ae_passthrough_matrix_multiply,medium,768,6.322,6.554,3.66,0.5204,0.5248,0.85
GCP,ae_passthrough_matrix_multiply,medium,1024,8.045,7.382,8.24,0.6043,0.5874,2.79
GCP,ae_passthrough_matrix_multiply,medium,1536,4.058,4.12,1.53,0.5546,0.5569,0.42
GCP,ae_passthrough_matrix_multiply,medium,2048,4.023,4.01,0.33,0.6043,0.6036,0.12
GCP,ae_passthrough_matrix_multiply,large,1536,26.411,25.666,2.82,1.4059,1.3775,2.02
GCP,ae_passthrough_matrix_multiply,large,2048,27.185,24.743,8.98,1.7805,1.6565,6.96
GCP,ce_decompress_matrix_multiply,micro,128,1.399,0.162,88.42,0.4044,0.4005,0.97
GCP,ce_decompress_matrix_multiply,micro,256,0.201,0.183,8.92,0.4013,0.4012,0.02
GCP,ce_decompress_matrix_multiply,micro,512,0.17,0.165,2.83,0.4022,0.4021,0.01
GCP,ce_decompress_matrix_multiply,micro,768,0.156,0.163,4.76,0.403,0.4031,0.03
GCP,ce_decompress_matrix_multiply,micro,1024,0.165,0.185,12.45,0.4042,0.4047,0.13
GCP,ce_decompress_matrix_multiply,micro,1536,0.156,0.161,2.98,0.406,0.4061,0.04
GCP,ce_decompress_matrix_multiply,micro,2048,0.155,0.174,12.26,0.4079,0.4088,0.23
GCP,ce_decompress_matrix_multiply,small,256,3.576,3.084,13.75,0.4227,0.4196,0.73
GCP,ce_decompress_matrix_multiply,small,512,1.465,1.487,1.53,0.4186,0.4189,0.07
GCP,ce_decompress_matrix_multiply,small,768,0.781,0.855,9.51,0.4149,0.4163,0.35
GCP,ce_decompress_matrix_multiply,small,1024,0.865,1.007,16.37,0.422,0.4256,0.86
GCP,ce_decompress_matrix_multiply,small,1536,0.477,0.634,32.81,0.4182,0.4241,1.42
GCP,ce_decompress_matrix_multiply,small,2048,0.539,0.667,23.86,0.4273,0.4339,1.53
GCP,ce_decompress_matrix_multiply,medium,512,13.255,12.946,2.33,0.5683,0.5644,0.68
GCP,ce_decompress_matrix_multiply,medium,768,7.099,7.762,9.34,0.5352,0.5478,2.36
GCP,ce_decompress_matrix_multiply,medium,1024,7.524,8.443,12.21,0.5911,0.6144,3.95
GCP,ce_decompress_matrix_multiply,medium,1536,4.108,4.903,19.36,0.5564,0.5867,5.44
GCP,ce_decompress_matrix_multiply,medium,2048,4.101,5.05,23.14,0.6082,0.6564,7.92
GCP,ce_decompress_matrix_multiply,large,1536,24.21,28.398,17.3,1.322,1.4816,12.07
GCP,ce_decompress_matrix_multiply,large,2048,28.217,27.492,2.57,1.8329,1.7961,2.01
GCP,gh_reduce_expand,micro,256,0.171,0.69,302.84,0.4011,0.4044,0.83
GCP,gh_reduce_expand,micro,512,0.157,0.183,16.5,0.402,0.4023,0.08
GCP,gh_reduce_expand,micro,768,0.151,0.245,62.19,0.4029,0.4047,0.45
GCP,gh_reduce_expand,micro,1024,0.155,0.191,23.54,0.4039,0.4048,0.22
GCP,gh_reduce_expand,micro,1536,0.147,0.181,23.53,0.4056,0.4069,0.33
GCP,gh_reduce_expand,micro,2048,0.151,0.149,1.64,0.4077,0.4076,0.02
GCP,gh_reduce_expand,small,256,2.238,2.234,0.19,0.4142,0.4142,0.0
GCP,gh_reduce_expand,small,512,1.076,0.897,16.6,0.4137,0.4114,0.55
GCP,gh_reduce_expand,small,768,0.704,0.675,4.18,0.4134,0.4129,0.12
GCP,gh_reduce_expand,small,1024,0.653,0.637,2.39,0.4166,0.4162,0.09
GCP,gh_reduce_expand,small,1536,0.388,0.371,4.41,0.4148,0.4141,0.16
GCP,gh_reduce_expand,small,2048,0.449,0.36,19.87,0.4228,0.4183,1.07
GCP,gh_reduce_expand,medium,512,7.624,6.432,15.63,0.4968,0.4817,3.04
GCP,gh_reduce_expand,medium,768,4.875,4.291,11.98,0.4928,0.4817,2.26
GCP,gh_reduce_expand,medium,1024,4.699,4.545,3.29,0.5193,0.5154,0.76
GCP,gh_reduce_expand,medium,1536,2.597,2.425,6.63,0.4989,0.4924,1.31
GCP,gh_reduce_expand,medium,2048,2.667,2.456,7.92,0.5354,0.5247,2.01
GCP,gh_reduce_expand,large,1536,12.149,12.366,1.78,0.8627,0.871,0.96
GCP,gh_reduce_expand,large,2048,13.01,12.639,2.85,1.0607,1.0418,1.78
GCP,kb_latency_compress,micro,256,12.559,12.603,0.35,0.4797,0.48,0.06
GCP,kb_latency_compress,micro,512,9.813,9.859,0.47,0.5246,0.5252,0.12
GCP,kb_latency_compress,micro,768,10.179,10.244,0.64,0.5938,0.5951,0.21
GCP,kb_latency_compress,micro,1024,9.194,9.331,1.49,0.6334,0.6369,0.55
GCP,kb_latency_compress,micro,1536,9.306,9.677,3.99,0.7544,0.7686,1.88
GCP,kb_latency_compress,micro,2048,9.866,8.892,9.87,0.901,0.8515,5.5
GCP,kb_latency_compress,small,256,27.966,28.186,0.79,0.5775,0.5789,0.24
GCP,kb_latency_compress,small,512,20.99,20.437,2.64,0.6665,0.6595,1.05
GCP,kb_latency_compress,small,768,19.516,19.999,2.48,0.7716,0.7808,1.19
GCP,kb_latency_compress,small,1024,20.08,19.222,4.27,0.9098,0.8881,2.39
GCP,kb_latency_compress,small,1536,19.523,18.775,3.83,1.1435,1.1151,2.49
GCP,kb_latency_compress,small,2048,19.752,19.229,2.65,1.403,1.3765,1.89
GCP,kb_latency_compress,medium,512,46.682,51.633,10.61,0.9926,1.0555,6.33
GCP,kb_latency_compress,medium,768,41.043,39.919,2.74,1.1816,1.1602,1.81
GCP,kb_latency_compress,medium,1024,40.872,38.442,5.95,1.4378,1.3761,4.29
GCP,kb_latency_compress,medium,1536,33.162,34.795,4.92,1.663,1.7252,3.74
GCP,kb_latency_compress,medium,2048,34.893,33.498,4.0,2.1719,2.1011,3.26
GCP,kb_latency_compress,large,1024,95.566,92.966,2.72,2.8265,2.7605,2.33
GCP,kb_latency_compress,large,1536,67.289,71.404,6.12,2.9628,3.1195,5.29
GCP,kb_latency_compress,large,2048,72.629,69.084,4.88,4.0882,3.9082,4.4
