task,payload_size,memory_mb,invocation_latency_ms,input_key,output_key,input_size_bytes,output_size_bytes,download_time_ms,compute_time_ms,upload_time_ms,total_time_ms,download_bandwidth_mbs,upload_bandwidth_mbs,primary_download_time_ms,primary_upload_time_ms,additional_download_time_ms,additional_upload_time_ms,additional_download_count,additional_upload_count,step,chain,run_id,error
gh_reduce_expand,small,512,522.7890010000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_512mb_small_2.out,5235852,5235852,106.484107,39.310905,237.859139,383.654151,49.17026700000000,22.012405999999999,,,,,,,,,,
gh_reduce_expand,small,512,421.79107699999997,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_512mb_small_3.out,5235852,5235852,103.899514,38.78212,156.63794,299.319574,50.393420999999996,33.426461000000003,,,,,,,,,,
gh_reduce_expand,small,512,421.4165210000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_512mb_small_4.out,5235852,5235852,110.954894,38.632087,202.010384,351.597365,47.18901400000000,25.91872700000000,,,,,,,,,,
gh_reduce_expand,small,512,379.41741900000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_512mb_small_5.out,5235852,5235852,134.217158,38.861822,146.178145,319.257125,39.01030300000000,35.818295999999997,,,,,,,,,,
gh_reduce_expand,small,768,377.08282500000001,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_768mb_small_1.out,5235852,5235852,83.298781,30.325072,93.223927,206.84778,62.85628600000000,56.16425100000000,,,,,,,,,,
gh_reduce_expand,small,768,421.5424060000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_768mb_small_2.out,5235852,5235852,87.511272,18.897985,135.579112,241.988369,59.830601000000001,38.618426999999997,,,,,,,,,,
gh_reduce_expand,small,768,320.6291200000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_768mb_small_3.out,5235852,5235852,85.315085,18.739402,128.044041,232.098528,61.370764999999999,40.89102400000000,,,,,,,,,,
gh_reduce_expand,small,768,317.2457220000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_768mb_small_4.out,5235852,5235852,73.985415,31.077399,108.180581,213.243395,70.76870500000000,48.39918500000000,,,,,,,,,,
gh_reduce_expand,small,768,352.9019360000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_768mb_small_5.out,5235852,5235852,74.673214,31.206705,190.083228,295.963147,70.11686899999999,27.545050000000000,,,,,,,,,,
gh_reduce_expand,small,1024,257.45654100000002,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1024mb_small_1.out,5235852,5235852,79.91599,15.268768,105.92416,201.108918,65.51695100000001,49.43019600000000,,,,,,,,,,
gh_reduce_expand,small,1024,277.5735860000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1024mb_small_2.out,5235852,5235852,81.279376,10.372635,90.407143,182.059154,64.4179650000000,57.91414100000000,,,,,,,,,,
gh_reduce_expand,small,1024,274.672270000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1024mb_small_3.out,5235852,5235852,83.972025,14.331519,118.757,217.060544,62.352336999999999,44.08878600000000,,,,,,,,,,
gh_reduce_expand,small,1024,260.2355480000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1024mb_small_4.out,5235852,5235852,72.438104,10.29958,111.510229,194.247913,72.28035700000000,46.95400600000000,,,,,,,,,,
gh_reduce_expand,small,1024,320.8658700000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1024mb_small_5.out,5235852,5235852,79.434786,22.370692,83.129268,184.934746,65.91384300000000,62.984459000000001,,,,,,,,,,
gh_reduce_expand,small,1536,227.87904700000001,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1536mb_small_0.out,5235852,5235852,74.754658,23.005481,72.157403,169.917542,70.0404780000000,72.56153600000000,,,,,,,,,,
gh_reduce_expand,small,1536,237.48207099999999,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1536mb_small_2.out,5235852,5235852,74.389044,10.538305,98.195725,183.123074,70.38472000000000,53.32057000000000,,,,,,,,,,
gh_reduce_expand,small,1536,272.86386499999998,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1536mb_small_3.out,5235852,5235852,70.52351,10.455398,85.167562,166.14647,74.24264599999999,61.47706800000000,,,,,,,,,,
gh_reduce_expand,small,1536,234.75408600000000,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1536mb_small_4.out,5235852,5235852,74.019015,10.556802,97.220351,181.796168,70.73658000000000,53.85551400000000,,,,,,,,,,
gh_reduce_expand,small,1536,229.07400100000001,payloads/matrix_small.bin,intermediate/task_gh_reduce_expand_1536mb_small_5.out,5235852,5235852,78.978186,10.371584,77.231218,166.580988,66.29491299999999,67.7945020000000,,,,,,,,,,
