task,payload_size,memory_mb,invocation_latency_ms,input_key,output_key,input_size_bytes,output_size_bytes,download_time_ms,compute_time_ms,upload_time_ms,total_time_ms,download_bandwidth_mbs,upload_bandwidth_mbs,step,chain,run_id,error,primary_download_time_ms,primary_upload_time_ms,additional_download_time_ms,additional_upload_time_ms,additional_download_count,additional_upload_count
c_decompress,micro,1536,145.8573340000000,payloads/matrix_micro.bin.gz,intermediate/task_c_decompress_1536mb_micro_5.out,97378,102156,56.779353,0.727328,39.560301,97.066982,1.71502500000000,2.58228600000000,,,,,,,,,,
c_decompress,micro,2048,122.16567999999999,payloads/matrix_micro.bin.gz,intermediate/task_c_decompress_2048mb_micro_1.out,97378,102156,43.788903,0.76083,33.610532,78.160265,2.2238050000000000,3.039404000000000,,,,,,,,,,
c_decompress,micro,2048,112.6241680000000,payloads/matrix_micro.bin.gz,intermediate/task_c_decompress_2048mb_micro_2.out,97378,102156,37.981871,0.753746,31.148764,69.884381,2.5638019999999999,3.2796159999999999,,,,,,,,,,
c_decompress,micro,2048,137.5222210000000,payloads/matrix_micro.bin.gz,intermediate/task_c_decompress_2048mb_micro_3.out,97378,102156,45.768126,0.796756,39.917097,86.481979,2.127638000000000,2.559204000000000,,,,,,,,,,
c_decompress,micro,2048,136.06715199999999,payloads/matrix_micro.bin.gz,intermediate/task_c_decompress_2048mb_micro_4.out,97378,102156,50.561903,0.725326,38.750904,90.038133,1.9259160000000000,2.636222000000000,,,,,,,,,,
c_decompress,micro,2048,140.761137000000,payloads/matrix_micro.bin.gz,intermediate/task_c_decompress_2048mb_micro_5.out,97378,102156,48.541721,0.722934,39.67637,88.941025,2.006068000000000,2.574732000000000,,,,,,,,,,
c_decompress,small,128,1580.369473000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_128mb_small_1.out,4986764,5235852,398.69345,619.772566,479.255616,1497.721632,12.507764999999999,10.924967000000001,,,,,,,,,,
c_decompress,small,128,1616.2254809999999,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_128mb_small_2.out,4986764,5235852,399.91887,540.212778,559.062629,1499.194277,12.469438999999999,9.365411999999999,,,,,,,,,,
c_decompress,small,128,1660.1448060000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_128mb_small_3.out,4986764,5235852,379.655448,561.935764,557.866787,1499.457999,13.134973000000000,9.38548800000000,,,,,,,,,,
c_decompress,small,128,1741.155386000000,payloads/matrix_small.bin.gz,intermediate/task_c_decompress_128mb_small_4.out,4986764,5235852,458.894633,598.339767,585.369348,1642.603748,10.866904000000000,8.944527000000001,,,,,,,,,,
